Nivel,BBA,Fort,Refl,Vont,Habilidades,Hit Die,Skill multiplier
1,0,0,2,2,"countersong,fascinate,inspire courage +1",6,6
2,1,0,3,3,-,-,-
3,2,1,3,3,Inspire competence,-,-
4,3,1,4,4,-,-,-
5,3,1,4,4,-,-,-
6,4,2,5,5,Suggestion,-,-
7,5,2,5,5,-,-,-
8,6,2,6,6,Inspire courage +2,-,-
9,6,3,6,6,Inspire greatness,-,-
10,7,3,7,7,-,-,-
11,8,3,7,7,-,-,-
12,9,4,8,8,Song of freedom,-,-
13,9,4,8,8,-,-,-
14,10,4,9,9,Inspire courage +3,-,-
15,11,5,9,9,Inspire heroics,-,-
16,12,5,10,10,-,-,-
17,12,5,10,10,-,-,-
18,13,6,11,11,Mass suggestion,-,-
19,14,6,11,11,-,-,-
20,15,6,12,12,Inspire courage +4,-,-
