Nivel,BBA,Fort,Refl,Vont,Habilidades,Hit Die,Skill multiplier
1,0,2,0,2,"Animal companion, nature sense, wild empathy",8,4
2,1,3,0,3,Woodland stride,-,-
3,2,3,1,3,Trackless step,-,-
4,3,4,1,4,Resist nature’s lure,-,-
5,3,4,1,4,Wild shape (1/day),-,-
6,4,5,2,5,Wild shape (2/day),-,-
7,5,5,2,5,Wild shape (3/day),-,-
8,6,6,2,6,Wild shape (Large),-,-
9,6,6,3,6,Venom immunity,-,-
10,7,7,3,7,Wild shape (4/day),-,-
11,8,7,3,7,Wild shape (Tiny),-,-
12,9,8,4,8,Wild shape (plant),-,-
13,9,8,4,8,A thousand faces,-,-
14,10,9,4,9,Wild shape (5/day),-,-
15,11,9,5,9,"Timeless body, wild shape (Huge)",-,-
16,12,10,5,10,Wild shape (elemental 1/day),-,-
17,12,10,5,10,-,-,-
18,13,11,6,11,"Wild shape (6/day, elemental 2/day)",-,-
19,14,11,6,11,-,-,-
20,15,12,6,12,"Wild shape (elemental 3/day, Huge elemental)",-,-
