Nivel,BBA,Fort,Refl,Vont,Habilidades,Hit Die,Skill multiplier
1,0,0,2,0,"Sneak attack +1d6, trapfinding",6,8
2,1,0,3,0,Evasion,-,-
3,2,1,3,1,"Sneak attack +2d6, trap sense +1",-,-
4,3,1,4,1,Uncanny dodge,-,-
5,3,1,4,1,Sneak attack +3d6,-,-
6,4,2,5,2,Trap sense +2,-,-
7,5,2,5,2,Sneak attack +4d6,-,-
8,6,2,6,2,Improved uncanny dodge,-,-
9,6,3,6,3,"Sneak attack +5d6, trap sense +3",-,-
10,7,3,7,3,Special ability,-,-
11,8,3,7,3,Sneak attack +6d6,-,-
12,9,4,8,4,Trap sense +4,-,-
13,9,4,8,4,"Sneak attack +7d6, special ability",-,-
14,10,4,9,4,-,-,-
15,11,5,9,5,"Sneak attack +8d6, trap sense +5",-,-
16,12,5,10,5,Special ability,-,-
17,12,5,10,5,Sneak attack +9d6,-,-
18,13,6,11,6,Trap sense +6,-,-
19,14,6,11,6,"Sneak attack +10d6, special ability",-,-
20,15,6,12,6,-,-,-
